Rating,URL,Ratings,Name,Latitude,Longitude,Address,LatLon 1,LatLon 2
4.5,http://m.yelp.com/biz/yaki-cafe-los-angeles,28,Yaki Cafe,34.0413336,-118.2545677,113 E 9th St Los Angeles  CA 90015,34.0412829,-118.2545688
4,http://m.yelp.com/biz/bcd-tofu-house-los-angeles-2,556,BCD Tofu House,34.0561103820801,-118.30940246582,869 S Western Ave Koreatown Los Angeles,34.0560882,-118.3094569
4.5,http://m.yelp.com/biz/awoolim-los-angeles,38,Awoolim,34.0544733319867,-118.307842835784,Koreatown Plaza  Ste 125 Koreatown',34.0544733319867,-118.307842835784
4,http://m.yelp.com/biz/jang-teo-bossam-los-angeles,57,Jang Teo Bossam,NA,NA,857 S Western Ave Los Angeles  CA 90005,34.0563023,-118.3090974
3.5,http://m.yelp.com/biz/hong-kong-banjum-0410-los-angeles-2,21,Hong Kong Banjum 0410,NA,NA,3470 W 6th St Koreatown Los Angeles,34.0632983,-118.2975105
4,http://m.yelp.com/biz/e-moon-oak-restaurant-los-angeles,78,E-Moon Oak Restaurant,34.0559768676758,-118.309394836426,869 S Western Ave Koreatown Los Angeles,34.0560882,-118.3094569
3,http://m.yelp.com/biz/ko-hyang-tofu-house-san-gabriel,252,Ko Hyang Tofu House,NA,NA,140 W Valley Blvd San Gabriel  CA 91776,34.0776663,-118.1008708
4,http://m.yelp.com/biz/bobtory-los-angeles,12,Bobtory,34.0565442,-118.282477,2500 W 8th St Westlake Los Angeles,34.0566294,-118.282357
4,http://m.yelp.com/biz/bellko-korean-bbq-bellflower,106,Bellko Korean BBQ,33.8835523,-118.125222,,33.8835523,-118.125222
3.5,http://m.yelp.com/biz/pot-los-angeles-2,310,POT,34.062064,-118.300956,The Line Hotel Koreatown Los Angeles,34.0708598,-118.2935891
3.5,http://m.yelp.com/biz/galbi-king-los-angeles,147,Galbi King,NA,NA,11267 National Blvd Los Angeles  CA 90064,34.026637,-118.4310043
4,http://m.yelp.com/biz/destini-caf%C3%A9-playa-del-rey-2,194,,,,,,
